Taal;Classificatie;Tabel;Class-tekstcodenotatie;Class-codenotatie;tekst_NL-SfB;fullname_nl;shortname_nl
nl-NL;NL/SfB;Tabel 1;(52.6);52.6;"afvoeren; vast vuil";"(52.6) afvoeren; vast vuil";NL/SfB - Tabel 1 - (52.6)
nl-NL;NL/SfB;Tabel 1;(52.60);52.60;"afvoeren; vast vuil, algemeen (verzamelniveau)";"(52.60) afvoeren; vast vuil, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (52.60)
nl-NL;NL/SfB;Tabel 1;(52.61);52.61;"afvoeren; vast vuil, stortkokers";"(52.61) afvoeren; vast vuil, stortkokers";NL/SfB - Tabel 1 - (52.61)
nl-NL;NL/SfB;Tabel 1;(52.62);52.62;"afvoeren; vast vuil, vacuümsysteem";"(52.62) afvoeren; vast vuil, vacuümsysteem";NL/SfB - Tabel 1 - (52.62)
nl-NL;NL/SfB;Tabel 1;(52.63);52.63;"afvoeren; vast vuil, persluchtsysteem";"(52.63) afvoeren; vast vuil, persluchtsysteem";NL/SfB - Tabel 1 - (52.63)
nl-NL;NL/SfB;Tabel 1;(52.64);52.64;"afvoeren; vast vuil, verdichtingsysteem";"(52.64) afvoeren; vast vuil, verdichtingsysteem";NL/SfB - Tabel 1 - (52.64)
nl-NL;NL/SfB;Tabel 1;(52.65);52.65;"afvoeren; vast vuil, verbrandingsysteem";"(52.65) afvoeren; vast vuil, verbrandingsysteem";NL/SfB - Tabel 1 - (52.65)
nl-NL;NL/SfB;Tabel 1;(53);53;Water;(53) Water;NL/SfB - Tabel 1 - (53)
nl-NL;NL/SfB;Tabel 1;(53.0);53.0;"water; algemeen";"(53.0) water; algemeen";NL/SfB - Tabel 1 - (53.0)
nl-NL;NL/SfB;Tabel 1;(53.1);53.1;"water; drinkwater";"(53.1) water; drinkwater";NL/SfB - Tabel 1 - (53.1)
nl-NL;NL/SfB;Tabel 1;(53.10);53.10;"water; drinkwater, algemeen (verzamelniveau)";"(53.10) water; drinkwater, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (53.10)
nl-NL;NL/SfB;Tabel 1;(53.11);53.11;"water; drinkwater, netaansluiting";"(53.11) water; drinkwater, netaansluiting";NL/SfB - Tabel 1 - (53.11)
nl-NL;NL/SfB;Tabel 1;(53.12);53.12;"water; drinkwater, bronaansluiting";"(53.12) water; drinkwater, bronaansluiting";NL/SfB - Tabel 1 - (53.12)
nl-NL;NL/SfB;Tabel 1;(53.13);53.13;"water; drinkwater, reinwaterkelderaansluiting";"(53.13) water; drinkwater, reinwaterkelderaansluiting";NL/SfB - Tabel 1 - (53.13)
nl-NL;NL/SfB;Tabel 1;(53.14);53.14;"water; drinkwater, drukverhoging";"(53.14) water; drinkwater, drukverhoging";NL/SfB - Tabel 1 - (53.14)
nl-NL;NL/SfB;Tabel 1;(53.19);53.19;"water; drinkwater, opslagtanks";"(53.19) water; drinkwater, opslagtanks";NL/SfB - Tabel 1 - (53.19)
nl-NL;NL/SfB;Tabel 1;(53.2);53.2;"water; verwarmd tapwater";"(53.2) water; verwarmd tapwater";NL/SfB - Tabel 1 - (53.2)
nl-NL;NL/SfB;Tabel 1;(53.20);53.20;"water; verwarmd tapwater, algemeen (verzamelniveau)";"(53.20) water; verwarmd tapwater, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (53.20)
nl-NL;NL/SfB;Tabel 1;(53.21);53.21;"water; verwarmd tapwater, direct verwarmd met voorraad";"(53.21) water; verwarmd tapwater, direct verwarmd met voorraad";NL/SfB - Tabel 1 - (53.21)
nl-NL;NL/SfB;Tabel 1;(53.22);53.22;"water; verwarmd tapwater, indirect verwarmd met voorraad";"(53.22) water; verwarmd tapwater, indirect verwarmd met voorraad";NL/SfB - Tabel 1 - (53.22)
nl-NL;NL/SfB;Tabel 1;(53.23);53.23;"water; verwarmd tapwater, doorstroom; direct verwarmd";"(53.23) water; verwarmd tapwater, doorstroom; direct verwarmd";NL/SfB - Tabel 1 - (53.23)
nl-NL;NL/SfB;Tabel 1;(53.24);53.24;"water; verwarmd tapwater, doorstroom; indirect verwarmd";"(53.24) water; verwarmd tapwater, doorstroom; indirect verwarmd";NL/SfB - Tabel 1 - (53.24)
nl-NL;NL/SfB;Tabel 1;(53.3);53.3;"water; bedrijfswater";"(53.3) water; bedrijfswater";NL/SfB - Tabel 1 - (53.3)
nl-NL;NL/SfB;Tabel 1;(53.30);53.30;"water; bedrijfswater, algemeen (verzamelniveau)";"(53.30) water; bedrijfswater, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (53.30)
nl-NL;NL/SfB;Tabel 1;(53.31);53.31;"water; bedrijfswater, onthard-watersysteem";"(53.31) water; bedrijfswater, onthard-watersysteem";NL/SfB - Tabel 1 - (53.31)
nl-NL;NL/SfB;Tabel 1;(53.32);53.32;"water; bedrijfswater, demi-watersysteem";"(53.32) water; bedrijfswater, demi-watersysteem";NL/SfB - Tabel 1 - (53.32)
nl-NL;NL/SfB;Tabel 1;(53.33);53.33;"water; bedrijfswater, gedistilleerd-watersysteem";"(53.33) water; bedrijfswater, gedistilleerd-watersysteem";NL/SfB - Tabel 1 - (53.33)
nl-NL;NL/SfB;Tabel 1;(53.34);53.34;"water; bedrijfswater, zwembad-watersysteem";"(53.34) water; bedrijfswater, zwembad-watersysteem";NL/SfB - Tabel 1 - (53.34)
nl-NL;NL/SfB;Tabel 1;(53.4);53.4;"water; gebruiksstoom en condens";"(53.4) water; gebruiksstoom en condens";NL/SfB - Tabel 1 - (53.4)
nl-NL;NL/SfB;Tabel 1;(53.40);53.40;"water; gebruiksstoom en condens, algemeen (verzamelniveau)";"(53.40) water; gebruiksstoom en condens, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (53.40)
nl-NL;NL/SfB;Tabel 1;(53.41);53.41;"water; gebruiksstoom en condens, lage-druk stoomsysteem";"(53.41) water; gebruiksstoom en condens, lage-druk stoomsysteem";NL/SfB - Tabel 1 - (53.41)
nl-NL;NL/SfB;Tabel 1;(53.42);53.42;"water; gebruiksstoom en condens, hoge-druk stoomsysteem";"(53.42) water; gebruiksstoom en condens, hoge-druk stoomsysteem";NL/SfB - Tabel 1 - (53.42)
nl-NL;NL/SfB;Tabel 1;(53.44);53.44;"water; gebruiksstoom en condens, condens verzamelsysteem";"(53.44) water; gebruiksstoom en condens, condens verzamelsysteem";NL/SfB - Tabel 1 - (53.44)
nl-NL;NL/SfB;Tabel 1;(53.5);53.5;"water; waterbehandeling";"(53.5) water; waterbehandeling";NL/SfB - Tabel 1 - (53.5)
nl-NL;NL/SfB;Tabel 1;(53.50);53.50;"water; waterbehandeling, algemeen (verzamelniveau)";"(53.50) water; waterbehandeling, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (53.50)
nl-NL;NL/SfB;Tabel 1;(53.51);53.51;"water; waterbehandeling, filtratiesysteem";"(53.51) water; waterbehandeling, filtratiesysteem";NL/SfB - Tabel 1 - (53.51)
nl-NL;NL/SfB;Tabel 1;(53.52);53.52;"water; waterbehandeling, absorptiesysteem";"(53.52) water; waterbehandeling, absorptiesysteem";NL/SfB - Tabel 1 - (53.52)
nl-NL;NL/SfB;Tabel 1;(53.53);53.53;"water; waterbehandeling, ontgassingsysteem";"(53.53) water; waterbehandeling, ontgassingsysteem";NL/SfB - Tabel 1 - (53.53)
nl-NL;NL/SfB;Tabel 1;(53.54);53.54;"water; waterbehandeling, destillatiesysteem";"(53.54) water; waterbehandeling, destillatiesysteem";NL/SfB - Tabel 1 - (53.54)
nl-NL;NL/SfB;Tabel 1;(54);54;Gassen;(54) Gassen;NL/SfB - Tabel 1 - (54)
nl-NL;NL/SfB;Tabel 1;(54.0);54.0;"gassen; algemeen";"(54.0) gassen; algemeen";NL/SfB - Tabel 1 - (54.0)
nl-NL;NL/SfB;Tabel 1;(54.1);54.1;"gassen; brandstof";"(54.1) gassen; brandstof";NL/SfB - Tabel 1 - (54.1)
nl-NL;NL/SfB;Tabel 1;(54.10);54.10;"gassen; brandstof, algemeen (verzamelniveau)";"(54.10) gassen; brandstof, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (54.10)
nl-NL;NL/SfB;Tabel 1;(54.11);54.11;"gassen; brandstof, aardgasvoorziening";"(54.11) gassen; brandstof, aardgasvoorziening";NL/SfB - Tabel 1 - (54.11)
nl-NL;NL/SfB;Tabel 1;(54.12);54.12;"gassen; brandstof, butaanvoorziening";"(54.12) gassen; brandstof, butaanvoorziening";NL/SfB - Tabel 1 - (54.12)
nl-NL;NL/SfB;Tabel 1;(54.13);54.13;"gassen; brandstof, propaanvoorziening";"(54.13) gassen; brandstof, propaanvoorziening";NL/SfB - Tabel 1 - (54.13)
nl-NL;NL/SfB;Tabel 1;(54.14);54.14;"gassen; brandstof, LPG-voorziening";"(54.14) gassen; brandstof, lpg-voorziening";NL/SfB - Tabel 1 - (54.14)
nl-NL;NL/SfB;Tabel 1;(54.2);54.2;"gassen; perslucht en vacuüm";"(54.2) gassen; perslucht en vacuüm";NL/SfB - Tabel 1 - (54.2)
nl-NL;NL/SfB;Tabel 1;(54.20);54.20;"gassen; perslucht en vacuüm, algemeen (verzamelniveau)";"(54.20) gassen; perslucht en vacuüm, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (54.20)
nl-NL;NL/SfB;Tabel 1;(54.21);54.21;"gassen; perslucht en vacuüm, persluchtvoorziening";"(54.21) gassen; perslucht en vacuüm, persluchtvoorziening";NL/SfB - Tabel 1 - (54.21)
nl-NL;NL/SfB;Tabel 1;(54.22);54.22;"gassen; perslucht en vacuüm, vacuümvoorziening";"(54.22) gassen; perslucht en vacuüm, vacuümvoorziening";NL/SfB - Tabel 1 - (54.22)
nl-NL;NL/SfB;Tabel 1;(54.3);54.3;"gassen; medisch";"(54.3) gassen; medisch";NL/SfB - Tabel 1 - (54.3)
nl-NL;NL/SfB;Tabel 1;(54.30);54.30;"gassen; medisch, algemeen (verzamelniveau)";"(54.30) gassen; medisch, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (54.30)
nl-NL;NL/SfB;Tabel 1;(54.31);54.31;"gassen; medisch, zuurstofvoorziening";"(54.31) gassen; medisch, zuurstofvoorziening";NL/SfB - Tabel 1 - (54.31)
nl-NL;NL/SfB;Tabel 1;(54.32);54.32;"gassen; medisch, carbogeenvoorziening";"(54.32) gassen; medisch, carbogeenvoorziening";NL/SfB - Tabel 1 - (54.32)
nl-NL;NL/SfB;Tabel 1;(54.33);54.33;"gassen; medisch, lachgasvoorziening";"(54.33) gassen; medisch, lachgasvoorziening";NL/SfB - Tabel 1 - (54.33)
nl-NL;NL/SfB;Tabel 1;(54.34);54.34;"gassen; medisch, koolzuurvoorziening";"(54.34) gassen; medisch, koolzuurvoorziening";NL/SfB - Tabel 1 - (54.34)
nl-NL;NL/SfB;Tabel 1;(54.35);54.35;"gassen; medisch, medische luchtvoorziening";"(54.35) gassen; medisch, medische luchtvoorziening";NL/SfB - Tabel 1 - (54.35)
nl-NL;NL/SfB;Tabel 1;(54.4);54.4;"gassen; technisch";"(54.4) gassen; technisch";NL/SfB - Tabel 1 - (54.4)
nl-NL;NL/SfB;Tabel 1;(54.40);54.40;"gassen; technisch, algemeen (verzamelniveau)";"(54.40) gassen; technisch, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (54.40)
nl-NL;NL/SfB;Tabel 1;(54.41);54.41;"gassen; technisch, stikstofvoorziening";"(54.41) gassen; technisch, stikstofvoorziening";NL/SfB - Tabel 1 - (54.41)
nl-NL;NL/SfB;Tabel 1;(54.42);54.42;"gassen; technisch, waterstofvoorziening";"(54.42) gassen; technisch, waterstofvoorziening";NL/SfB - Tabel 1 - (54.42)
nl-NL;NL/SfB;Tabel 1;(54.43);54.43;"gassen; technisch, argonvoorziening";"(54.43) gassen; technisch, argonvoorziening";NL/SfB - Tabel 1 - (54.43)
nl-NL;NL/SfB;Tabel 1;(54.44);54.44;"gassen; technisch, heliumvoorziening";"(54.44) gassen; technisch, heliumvoorziening";NL/SfB - Tabel 1 - (54.44)
nl-NL;NL/SfB;Tabel 1;(54.45);54.45;"gassen; technisch, acetyleenvoorziening";"(54.45) gassen; technisch, acetyleenvoorziening";NL/SfB - Tabel 1 - (54.45)
nl-NL;NL/SfB;Tabel 1;(54.46);54.46;"gassen; technisch, propaanvoorziening";"(54.46) gassen; technisch, propaanvoorziening";NL/SfB - Tabel 1 - (54.46)
nl-NL;NL/SfB;Tabel 1;(54.47);54.47;"gassen; technisch, koolzuurvoorziening";"(54.47) gassen; technisch, koolzuurvoorziening";NL/SfB - Tabel 1 - (54.47)
nl-NL;NL/SfB;Tabel 1;(54.5);54.5;"gassen; bijzonder";"(54.5) gassen; bijzonder";NL/SfB - Tabel 1 - (54.5)
nl-NL;NL/SfB;Tabel 1;(54.50);54.50;"gassen; bijzonder, algemeen (verzamelniveau)";"(54.50) gassen; bijzonder, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (54.50)
nl-NL;NL/SfB;Tabel 1;(54.51);54.51;"gassen; bijzonder, voorziening; zuivere gassen";"(54.51) gassen; bijzonder, voorziening; zuivere gassen";NL/SfB - Tabel 1 - (54.51)
nl-NL;NL/SfB;Tabel 1;(54.52);54.52;"gassen; bijzonder, voorziening; menggassen";"(54.52) gassen; bijzonder, voorziening; menggassen";NL/SfB - Tabel 1 - (54.52)
nl-NL;NL/SfB;Tabel 1;(55);55;Koude-opwekking en distributie;(55) Koude-opwekking en distributie;NL/SfB - Tabel 1 - (55)
nl-NL;NL/SfB;Tabel 1;(55.0);55.0;"koude-opwekking; algemeen";"(55.0) koude-opwekking; algemeen";NL/SfB - Tabel 1 - (55.0)
nl-NL;NL/SfB;Tabel 1;(55.1);55.1;"koude-opwekking; lokaal";"(55.1) koude-opwekking; lokaal";NL/SfB - Tabel 1 - (55.1)
nl-NL;NL/SfB;Tabel 1;(55.10);55.10;"koude-opwekking; lokaal, algemeen (verzamelniveau)";"(55.10) koude-opwekking; lokaal, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (55.10)
nl-NL;NL/SfB;Tabel 1;(55.11);55.11;"koude-opwekking; lokaal, raamkoelers";"(55.11) koude-opwekking; lokaal, raamkoelers";NL/SfB - Tabel 1 - (55.11)
nl-NL;NL/SfB;Tabel 1;(55.12);55.12;"koude-opwekking; lokaal, splitsystemen";"(55.12) koude-opwekking; lokaal, splitsystemen";NL/SfB - Tabel 1 - (55.12)
nl-NL;NL/SfB;Tabel 1;(55.13);55.13;"koude-opwekking; lokaal, compactsystemen";"(55.13) koude-opwekking; lokaal, compactsystemen";NL/SfB - Tabel 1 - (55.13)
nl-NL;NL/SfB;Tabel 1;(55.2);55.2;"koude-opwekking; centraal";"(55.2) koude-opwekking; centraal";NL/SfB - Tabel 1 - (55.2)
nl-NL;NL/SfB;Tabel 1;(55.20);55.20;"koude-opwekking; centraal, algemeen (verzamelniveau)";"(55.20) koude-opwekking; centraal, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (55.20)
nl-NL;NL/SfB;Tabel 1;(55.21);55.21;"koude-opwekking; centraal, compressorensystemen";"(55.21) koude-opwekking; centraal, compressorensystemen";NL/SfB - Tabel 1 - (55.21)
nl-NL;NL/SfB;Tabel 1;(55.22);55.22;"koude-opwekking; centraal, absorptiesystemen";"(55.22) koude-opwekking; centraal, absorptiesystemen";NL/SfB - Tabel 1 - (55.22)
nl-NL;NL/SfB;Tabel 1;(55.23);55.23;"koude-opwekking; centraal, grondwatersystemen";"(55.23) koude-opwekking; centraal, grondwatersystemen";NL/SfB - Tabel 1 - (55.23)
nl-NL;NL/SfB;Tabel 1;(55.24);55.24;"koude-opwekking; centraal, oppervlaktewatersystemen";"(55.24) koude-opwekking; centraal, oppervlaktewatersystemen";NL/SfB - Tabel 1 - (55.24)
nl-NL;NL/SfB;Tabel 1;(55.3);55.3;"koude-opwekking; distributie";"(55.3) koude-opwekking; distributie";NL/SfB - Tabel 1 - (55.3)
nl-NL;NL/SfB;Tabel 1;(55.30);55.30;"koude-opwekking; distributie, algemeen (verzamelniveau)";"(55.30) koude-opwekking; distributie, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (55.30)
nl-NL;NL/SfB;Tabel 1;(55.31);55.31;"koude-opwekking; distributie, distributiesystemen";"(55.31) koude-opwekking; distributie, distributiesystemen";NL/SfB - Tabel 1 - (55.31)
nl-NL;NL/SfB;Tabel 1;(56);56;Warmtedistributie;(56) Warmtedistributie;NL/SfB - Tabel 1 - (56)
nl-NL;NL/SfB;Tabel 1;(56.0);56.0;"warmtedistributie; algemeen";"(56.0) warmtedistributie; algemeen";NL/SfB - Tabel 1 - (56.0)
nl-NL;NL/SfB;Tabel 1;(56.1);56.1;"warmtedistributie; water";"(56.1) warmtedistributie; water";NL/SfB - Tabel 1 - (56.1)
nl-NL;NL/SfB;Tabel 1;(56.10);56.10;"warmtedistributie; water, algemeen (verzamelniveau)";"(56.10) warmtedistributie; water, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (56.10)
nl-NL;NL/SfB;Tabel 1;(56.11);56.11;"warmtedistributie; water, radiatorsystemen";"(56.11) warmtedistributie; water, radiatorsystemen";NL/SfB - Tabel 1 - (56.11)
nl-NL;NL/SfB;Tabel 1;(56.12);56.12;"warmtedistributie; water, convectorsystemen";"(56.12) warmtedistributie; water, convectorsystemen";NL/SfB - Tabel 1 - (56.12)
nl-NL;NL/SfB;Tabel 1;(56.13);56.13;"warmtedistributie; water, vloerverwarmingssystemen";"(56.13) warmtedistributie; water, vloerverwarmingssystemen";NL/SfB - Tabel 1 - (56.13)
nl-NL;NL/SfB;Tabel 1;(56.2);56.2;"warmtedistributie; stoom";"(56.2) warmtedistributie; stoom";NL/SfB - Tabel 1 - (56.2)
nl-NL;NL/SfB;Tabel 1;(56.20);56.20;"warmtedistributie; stoom, algemeen (verzamelniveau)";"(56.20) warmtedistributie; stoom, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (56.20)
nl-NL;NL/SfB;Tabel 1;(56.21);56.21;"warmtedistributie; stoom, radiatorsystemen";"(56.21) warmtedistributie; stoom, radiatorsystemen";NL/SfB - Tabel 1 - (56.21)
nl-NL;NL/SfB;Tabel 1;(56.22);56.22;"warmtedistributie; stoom, convectorsystemen";"(56.22) warmtedistributie; stoom, convectorsystemen";NL/SfB - Tabel 1 - (56.22)
nl-NL;NL/SfB;Tabel 1;(56.24);56.24;"warmtedistributie; stoom, stralingspanelen";"(56.24) warmtedistributie; stoom, stralingspanelen";NL/SfB - Tabel 1 - (56.24)
nl-NL;NL/SfB;Tabel 1;(56.3);56.3;"warmtedistributie; lucht";"(56.3) warmtedistributie; lucht";NL/SfB - Tabel 1 - (56.3)
nl-NL;NL/SfB;Tabel 1;(56.30);56.30;"warmtedistributie; lucht, algemeen (verzamelniveau)";"(56.30) warmtedistributie; lucht, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (56.30)
nl-NL;NL/SfB;Tabel 1;(56.31);56.31;"warmtedistributie; lucht, direct distributiesysteem";"(56.31) warmtedistributie; lucht, direct distributiesysteem";NL/SfB - Tabel 1 - (56.31)
nl-NL;NL/SfB;Tabel 1;(56.32);56.32;"warmtedistributie; lucht, systeem met stralingsoverdracht";"(56.32) warmtedistributie; lucht, systeem met stralingsoverdracht";NL/SfB - Tabel 1 - (56.32)
nl-NL;NL/SfB;Tabel 1;(56.4);56.4;"warmtedistributie; bijzonder";"(56.4) warmtedistributie; bijzonder";NL/SfB - Tabel 1 - (56.4)
nl-NL;NL/SfB;Tabel 1;(56.40);56.40;"warmtedistributie; bijzonder, algemeen (verzamelniveau)";"(56.40) warmtedistributie; bijzonder, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (56.40)
nl-NL;NL/SfB;Tabel 1;(56.41);56.41;"warmtedistributie; bijzonder, zonnewarmtesystemen";"(56.41) warmtedistributie; bijzonder, zonnewarmtesystemen";NL/SfB - Tabel 1 - (56.41)
nl-NL;NL/SfB;Tabel 1;(56.42);56.42;"warmtedistributie; bijzonder, aardwarmtesystemen";"(56.42) warmtedistributie; bijzonder, aardwarmtesystemen";NL/SfB - Tabel 1 - (56.42)
nl-NL;NL/SfB;Tabel 1;(56.43);56.43;"warmtedistributie; bijzonder, centraal";"(56.43) warmtedistributie; bijzonder, centraal";NL/SfB - Tabel 1 - (56.43)
nl-NL;NL/SfB;Tabel 1;(57);57;Luchtbehandeling;(57) Luchtbehandeling;NL/SfB - Tabel 1 - (57)
nl-NL;NL/SfB;Tabel 1;(57.0);57.0;"luchtbehandeling; algemeen";"(57.0) luchtbehandeling; algemeen";NL/SfB - Tabel 1 - (57.0)
nl-NL;NL/SfB;Tabel 1;(57.1);57.1;"luchtbehandeling; natuurlijke ventilatie";"(57.1) luchtbehandeling; natuurlijke ventilatie";NL/SfB - Tabel 1 - (57.1)
nl-NL;NL/SfB;Tabel 1;(57.10);57.10;"luchtbehandeling; natuurlijke ventilatie, algemeen (verzamelniveau)";"(57.10) luchtbehandeling; natuurlijke ventilatie, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (57.10)
nl-NL;NL/SfB;Tabel 1;(57.11);57.11;"luchtbehandeling; natuurlijke ventilatie, voorzieningen; regelbaar";"(57.11) luchtbehandeling; natuurlijke ventilatie, voorzieningen; regelbaar";NL/SfB - Tabel 1 - (57.11)
nl-NL;NL/SfB;Tabel 1;(57.12);57.12;"luchtbehandeling; natuurlijke ventilatie, voorzieningen; niet regelbaar";"(57.12) luchtbehandeling; natuurlijke ventilatie, voorzieningen; niet regelbaar";NL/SfB - Tabel 1 - (57.12)
nl-NL;NL/SfB;Tabel 1;(57.2);57.2;"luchtbehandeling; lokale mechanische afzuiging";"(57.2) luchtbehandeling; lokale mechanische afzuiging";NL/SfB - Tabel 1 - (57.2)
nl-NL;NL/SfB;Tabel 1;(57.20);57.20;"luchtbehandeling; lokale mechanische afzuiging, algemeen (verzamelniveau)";"(57.20) luchtbehandeling; lokale mechanische afzuiging, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (57.20)
nl-NL;NL/SfB;Tabel 1;(57.21);57.21;"luchtbehandeling; lokale mechanische afzuiging, afzuiginstallatie";"(57.21) luchtbehandeling; lokale mechanische afzuiging, afzuiginstallatie";NL/SfB - Tabel 1 - (57.21)
nl-NL;NL/SfB;Tabel 1;(57.3);57.3;"luchtbehandeling; centrale mechanische afzuiging";"(57.3) luchtbehandeling; centrale mechanische afzuiging";NL/SfB - Tabel 1 - (57.3)
nl-NL;NL/SfB;Tabel 1;(57.30);57.30;"luchtbehandeling; centrale mechanische afzuiging, algemeen (verzamelniveau)";"(57.30) luchtbehandeling; centrale mechanische afzuiging, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (57.30)
nl-NL;NL/SfB;Tabel 1;(57.31);57.31;"luchtbehandeling; centrale mechanische afzuiging, afzuiginstallatie";"(57.31) luchtbehandeling; centrale mechanische afzuiging, afzuiginstallatie";NL/SfB - Tabel 1 - (57.31)
nl-NL;NL/SfB;Tabel 1;(57.4);57.4;"luchtbehandeling; lokale mechanische ventilatie";"(57.4) luchtbehandeling; lokale mechanische ventilatie";NL/SfB - Tabel 1 - (57.4)
nl-NL;NL/SfB;Tabel 1;(57.40);57.40;"luchtbehandeling; lokale mechanische ventilatie, algemeen (verzamelniveau)";"(57.40) luchtbehandeling; lokale mechanische ventilatie, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (57.40)
nl-NL;NL/SfB;Tabel 1;(57.41);57.41;"luchtbehandeling; lokale mechanische ventilatie, ventilatie-installatie";"(57.41) luchtbehandeling; lokale mechanische ventilatie, ventilatie-installatie";NL/SfB - Tabel 1 - (57.41)
nl-NL;NL/SfB;Tabel 1;(57.5);57.5;"luchtbehandeling; centrale mechanische ventilatie";"(57.5) luchtbehandeling; centrale mechanische ventilatie";NL/SfB - Tabel 1 - (57.5)
nl-NL;NL/SfB;Tabel 1;(57.50);57.50;"luchtbehandeling; centrale mechanische ventilatie, algemeen (verzamelniveau)";"(57.50) luchtbehandeling; centrale mechanische ventilatie, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (57.50)
nl-NL;NL/SfB;Tabel 1;(57.51);57.51;"luchtbehandeling; centrale mechanische ventilatie, ventilatie-installatie";"(57.51) luchtbehandeling; centrale mechanische ventilatie, ventilatie-installatie";NL/SfB - Tabel 1 - (57.51)
nl-NL;NL/SfB;Tabel 1;(57.52);57.52;"luchtbehandeling; centrale mechanische ventilatie, ventilatie-inst. met warmteterugwinning";"(57.52) luchtbehandeling; centrale mechanische ventilatie, ventilatie-inst. met warmteterugwinning";NL/SfB - Tabel 1 - (57.52)
nl-NL;NL/SfB;Tabel 1;(57.6);57.6;"luchtbehandeling; lokaal";"(57.6) luchtbehandeling; lokaal";NL/SfB - Tabel 1 - (57.6)
nl-NL;NL/SfB;Tabel 1;(57.60);57.60;"luchtbehandeling; lokaal, algemeen (verzamelniveau)";"(57.60) luchtbehandeling; lokaal, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (57.60)
nl-NL;NL/SfB;Tabel 1;(57.61);57.61;"luchtbehandeling; lokaal, luchtbehandelingsinstallatie";"(57.61) luchtbehandeling; lokaal, luchtbehandelingsinstallatie";NL/SfB - Tabel 1 - (57.61)
nl-NL;NL/SfB;Tabel 1;(57.7);57.7;"luchtbehandeling; centraal";"(57.7) luchtbehandeling; centraal";NL/SfB - Tabel 1 - (57.7)
nl-NL;NL/SfB;Tabel 1;(57.70);57.70;"luchtbehandeling; centraal, algemeen (verzamelniveau)";"(57.70) luchtbehandeling; centraal, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (57.70)
nl-NL;NL/SfB;Tabel 1;(57.71);57.71;"luchtbehandeling; centraal, luchtbehandelingsinstallatie";"(57.71) luchtbehandeling; centraal, luchtbehandelingsinstallatie";NL/SfB - Tabel 1 - (57.71)
nl-NL;NL/SfB;Tabel 1;(58);58;Regeling klimaat en sanitair;(58) Regeling klimaat en sanitair;NL/SfB - Tabel 1 - (58)
nl-NL;NL/SfB;Tabel 1;(58.0);58.0;"regeling klimaat en sanitair; algemeen";"(58.0) regeling klimaat en sanitair; algemeen";NL/SfB - Tabel 1 - (58.0)
nl-NL;NL/SfB;Tabel 1;(58.1);58.1;"regeling klimaat en sanitair; specifieke regelingen";"(58.1) regeling klimaat en sanitair; specifieke regelingen";NL/SfB - Tabel 1 - (58.1)
nl-NL;NL/SfB;Tabel 1;(58.10);58.10;"regeling klimaat en sanitair; specifieke regelingen, algemeen (verzamelniveau)";"(58.10) regeling klimaat en sanitair; specifieke regelingen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (58.10)
nl-NL;NL/SfB;Tabel 1;(58.11);58.11;"regeling klimaat en sanitair; specifieke regelingen, specifieke regeling";"(58.11) regeling klimaat en sanitair; specifieke regelingen, specifieke regeling";NL/SfB - Tabel 1 - (58.11)
nl-NL;NL/SfB;Tabel 1;(58.12);58.12;"regeling klimaat en sanitair; specifieke regelingen, gecombineerde regeling";"(58.12) regeling klimaat en sanitair; specifieke regelingen, gecombineerde regeling";NL/SfB - Tabel 1 - (58.12)
nl-NL;NL/SfB;Tabel 1;(58.2);58.2;"regeling klimaat en sanitair; centrale melding, meting en sturing";"(58.2) regeling klimaat en sanitair; centrale melding, meting en sturing";NL/SfB - Tabel 1 - (58.2)
nl-NL;NL/SfB;Tabel 1;(58.20);58.20;"regeling klimaat en sanitair; centrale melding, meting en sturing, algemeen (verzamelniveau)";"(58.20) regeling klimaat en sanitair; centrale melding, meting en sturing, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (58.20)
